0,-2,1,-2
1.5,-61,1.5,-60
0,-57.5,1,-57.5
2,-49,2,-48
0,-45.5,1,-45.5
1.5,-43,1.5,-42
2.5,-39,2.5,-38
0,-37.5,1,-37.5
1.5,-33,1.5,-32
0,-34.5,1,-34.5
1.5,-31,1.5,-30
0,-25.5,1,-25.5
6,-21,6,-20
2.5,-11,2.5,-10
0,-8.5,1,-8.5
1.5,-3,1.5,-2
1.5,-17,1.5,-16
0,-14.5,1,-14.5
1.5,-13,1.5,-12
1.5,-51,1.5,-50
0,-52.5,1,-52.5
2.5,-55,2.5,-54
1.5,-37,1.5,-36
1.5,-7,1.5,-6
2,-61.5,3,-61.5
2,-51.5,3,-51.5
2,-47.5,3,-47.5
2,-41.5,3,-41.5
2,-43.5,3,-43.5
2,-35.5,3,-35.5
2,-31.5,3,-31.5
2,-17.5,3,-17.5
2,-13.5,3,-13.5
2,-4.5,3,-4.5
4.5,-63,4.5,-62
3.5,-59,3.5,-58
3.5,-47,3.5,-46
5.5,-45,5.5,-44
4.5,-35,4.5,-34
3.5,-15,3.5,-14
3.5,-29,3.5,-28
4.5,-53,4.5,-52
4,-55.5,5,-55.5
4,-47.5,5,-47.5
4,-39.5,5,-39.5
4,-25.5,5,-25.5
4,-29.5,5,-29.5
4,-15.5,5,-15.5
4,-11.5,5,-11.5
4,-7.5,5,-7.5
10,-59,10,-58
4,-59.5,5,-59.5
6.5,-1,6.5,0
4,-3.5,5,-3.5
5.5,-61,5.5,-60
5.5,-57,5.5,-56
6.5,-41,6.5,-40
6.5,-23,6.5,-22
6.5,-17,6.5,-16
5.5,-13,5.5,-12
5.5,-49,5.5,-48
5.5,-31,5.5,-30
5.5,-7,5.5,-6
6,-61.5,7,-61.5
6,-55.5,7,-55.5
6,-50.5,7,-50.5
6,-33.5,7,-33.5
6,-19.5,7,-19.5
6,-13.5,7,-13.5
6,-7.5,7,-7.5
7.5,-37,7.5,-36
7.5,-33,7.5,-32
7.5,-5,7.5,-4
7.5,-55,7.5,-54
7.5,-19,7.5,-18
8.5,-15,8.5,-14
7.5,-9,7.5,-8
8,-53.5,9,-53.5
8,-45.5,9,-45.5
8,-38.5,9,-38.5
8,-33.5,9,-33.5
8,-17.5,9,-17.5
8,-20.5,9,-20.5
8,-9.5,9,-9.5
8,-2.5,9,-2.5
12.5,-45,12.5,-44
13.5,-41,13.5,-40
10,-23,10,-22
9.5,-5,9.5,-4
9,-62,8,-62
10.5,-61,10.5,-60
9.5,-29,9.5,-28
8,-26.5,9,-26.5
9.5,-53,9.5,-52
9.5,-35,9.5,-34
9.5,-25,9.5,-24
10.5,-13,10.5,-12
8,-11.5,9,-11.5
10.5,-11,10.5,-10
10,-57.5,11,-57.5
10,-51.5,11,-51.5
10,-36.5,11,-36.5
10,-30.5,11,-30.5
10,-25.5,11,-25.5
10,-21.5,11,-21.5
10,-15.5,11,-15.5
10,-5.5,11,-5.5
11.5,-57,11.5,-56
11.5,-5,11.5,-4
11.5,-51,11.5,-50
11.5,-49,11.5,-48
10,-47.5,11,-47.5
12.5,-39,12.5,-38
12.5,-33,12.5,-32
11.5,-27,11.5,-26
11.5,-17,11.5,-16
13.5,-1,13.5,0
12.5,-47,12.5,-46
12.5,-21,12.5,-20
12,-59.5,13,-59.5
12,-55.5,13,-55.5
12,-49.5,13,-49.5
12,-27.5,13,-27.5
12,-17.5,13,-17.5
12,-13.5,13,-13.5
12,-8.5,13,-8.5
12,-3.5,13,-3.5
13.5,-55,13.5,-54
13.5,-59,13.5,-58
13.5,-37,13.5,-36
12,-35.5,13,-35.5
13.5,-35,13.5,-34
14.5,-29,14.5,-28
13.5,-25,13.5,-24
14,-19,14,-18
15.5,-15,15.5,-14
14.5,-3,14.5,-2
14.5,-7,14.5,-6
14,-53.5,15,-53.5
14,-47.5,15,-47.5
14,-37.5,15,-37.5
14,-33.5,15,-33.5
14,-31.5,15,-31.5
14,-22.5,15,-22.5
14,-25.5,15,-25.5
14,-17.5,15,-17.5
15.5,-59,15.5,-58
14,-59.5,15,-59.5
16.5,-55,16.5,-54
15.5,-61,15.5,-60
15.5,-49,15.5,-48
16.5,-17,16.5,-16
15.5,-13,15.5,-12
16,-61.5,17,-61.5
16,-57.5,17,-57.5
16,-47.5,17,-47.5
16,-43.5,17,-43.5
16,-11.5,17,-11.5
16,-7.5,17,-7.5
16,-3.5,17,-3.5
16,-1.5,17,-1.5
19.5,-29,19.5,-28
16,-29.5,17,-29.5
17.5,-43,17.5,-42
17,-47,17,-46
17.5,-11,17.5,-10
17.5,-9,17.5,-8
22.5,-63,22.5,-62
17.5,-51,17.5,-50
16,-51.5,17,-51.5
17.5,-39,17.5,-38
17.5,-35,17.5,-34
16,-33.5,17,-33.5
17.5,-33,17.5,-32
17.5,-31,17.5,-30
17.5,-25,17.5,-24
16,-23.5,17,-23.5
17.5,-23,17.5,-22
17.5,-21,17.5,-20
16,-19.5,17,-19.5
17.5,-19,17.5,-18
18.5,-53,18.5,-52
18,-57.5,19,-57.5
18,-48.5,19,-48.5
18,-39.5,19,-39.5
18,-35.5,19,-35.5
18,-31.5,19,-31.5
18,-25.5,19,-25.5
18,-21.5,19,-21.5
18,-17.5,19,-17.5
18,-13.5,19,-13.5
18,-11.5,19,-11.5
18,-7.5,19,-7.5
19.5,-41,19.5,-40
24,-61,24,-60
19.5,-27,19.5,-26
19.5,-3,19.5,-2
18,-6,19,-6
19.5,-37,19.5,-36
19.5,-7,19.5,-6
20,-50.5,21,-50.5
20,-42.5,21,-42.5
20,-37.5,21,-37.5
20,-20.5,21,-20.5
20,-1.5,21,-1.5
20,-57.5,21,-57.5
22.5,-49,22.5,-48
23.5,-45,23.5,-44
21,-31,21,-30
20,-32.5,21,-32.5
21.5,-15,21.5,-14
21.5,-11,21.5,-10
20,-9.5,21,-9.5
21.5,-9,21.5,-8
21.5,-55,21.5,-54
20,-55.5,21,-55.5
22.5,-39,22.5,-38
21.5,-35,21.5,-34
21.5,-1,21.5,0
25.5,-57,25.5,-56
22,-31.5,23,-31.5
22,-27.5,23,-27.5
22,-12.5,23,-12.5
22,-6.5,23,-6.5
22,-1.5,23,-1.5
24.5,-43,24.5,-42
22,-41.5,23,-41.5
24.5,-41,24.5,-40
23.5,-33,23.5,-32
23.5,-25,23.5,-24
22,-20.5,23,-20.5
24.5,-5,24.5,-4
24.5,-3,24.5,-2
24.5,-27,24.5,-26
23.5,-17,23.5,-16
24,-59.5,25,-59.5
24,-36.5,25,-36.5
24,-21.5,25,-21.5
24,-47.5,25,-47.5
25.5,-33,25.5,-32
24,-30.5,25,-30.5
25.5,-59,25.5,-58
25.5,-53,25.5,-52
24,-51.5,25,-51.5
26.5,-51,26.5,-50
25.5,-47,25.5,-46
26.5,-35,26.5,-34
26.5,-29,26.5,-28
25.5,-11,25.5,-10
24,-9.5,25,-9.5
25.5,-19,25.5,-18
26.5,-9,26.5,-8
26,-59.5,27,-59.5
26,-53.5,27,-53.5
26,-45.5,27,-45.5
26,-43.5,27,-43.5
26,-38.5,27,-38.5
26,-31.5,27,-31.5
26,-22.5,27,-22.5
27,-16,26,-16
26,-5.5,27,-5.5
26,-1.5,27,-1.5
27.5,-19,27.5,-18
27.5,-61,27.5,-60
28.5,-55,28.5,-54
27.5,-37,27.5,-36
29.5,-31,29.5,-30
27.5,-7,27.5,-6
29.5,-1,29.5,0
27.5,-17,27.5,-16
28,-61.5,29,-61.5
28,-59.5,29,-59.5
28,-46.5,29,-46.5
28,-38.5,29,-38.5
28,-33.5,29,-33.5
28,-27.5,29,-27.5
28,-24,29,-24
28,-15.5,29,-15.5
28,-9.5,29,-9.5
28,-4.5,29,-4.5
29.5,-43,29.5,-42
29,-33,29,-32
29.5,-25,29.5,-24
29.5,-15,29.5,-14
29.5,-3,29.5,-2
29.5,-59,29.5,-58
29.5,-41,29.5,-40
29.5,-27,29.5,-26
30.5,-13,30.5,-12
28,-11.5,29,-11.5
30,-57.5,31,-57.5
30,-51.5,31,-51.5
30,-43.5,31,-43.5
30,-25.5,31,-25.5
30,-17.5,31,-17.5
30,-3.5,31,-3.5
33.5,-41,33.5,-40
32.5,-61,32.5,-60
31,-62,30,-62
32,-45,32,-44
31.5,-9,31.5,-8
31,-8,30,-8
31.5,-7,31.5,-6
33.5,-63,33.5,-62
33.5,-21,33.5,-20
31.5,-5,31.5,-4
31.5,-49,31.5,-48
32,-53.5,33,-53.5
32,-43.5,33,-43.5
32,-29.5,33,-29.5
32,-27.5,33,-27.5
32,-13.5,33,-13.5
32,-9.5,33,-9.5
32,-5.5,33,-5.5
32,-1.5,33,-1.5
35.5,-23,35.5,-22
32,-23.5,33,-23.5
33.5,-27,33.5,-26
33.5,-15,33.5,-14
33.5,-59,33.5,-58
34.5,-43,34.5,-42
33.5,-39,33.5,-38
32,-36.5,33,-36.5
33.5,-35,33.5,-34
33.5,-17,33.5,-16
33.5,-11,33.5,-10
33.5,-3,33.5,-2
34,-59.5,35,-59.5
34,-37.5,35,-37.5
34,-33.5,35,-33.5
34,-27.5,35,-27.5
34,-12.5,35,-12.5
34,-1.5,35,-1.5
35.5,-47,35.5,-46
36.5,-17,36.5,-16
34,-17.5,35,-17.5
35.5,-55,35.5,-54
34,-56,35,-56
35.5,-29,35.5,-28
35.5,-53,35.5,-52
34,-51.5,35,-51.5
35.5,-49,35.5,-48
34,-49.5,35,-49.5
36.5,-37,36.5,-36
35.5,-19,35.5,-18
38.5,-1,38.5,0
36.5,-51,36.5,-50
36,-60.5,37,-60.5
36,-53.5,37,-53.5
36,-47.5,37,-47.5
36,-43.5,37,-43.5
36,-27.5,37,-27.5
36,-19.5,37,-19.5
37.5,-35,37.5,-34
36,-33.5,37,-33.5
37.5,-13,37.5,-12
37.5,-3,37.5,-2
36,-8,37,-8
38.5,-59,38.5,-58
38.5,-45,38.5,-44
38.5,-33,38.5,-32
38.5,-27,38.5,-26
37.5,-11,37.5,-10
36,-9.5,37,-9.5
37.5,-9,37.5,-8
38,-35.5,39,-35.5
38,-15.5,39,-15.5
38,-11.5,39,-11.5
38,-7.5,39,-7.5
38,-3.5,39,-3.5
40,-51,40,-50
38,-48.5,39,-48.5
40.5,-31,40.5,-30
38,-29.5,39,-29.5
39.5,-23,39.5,-22
39.5,-13,39.5,-12
44.5,-63,44.5,-62
39,-62,38,-62
39.5,-61,39.5,-60
39.5,-55,39.5,-54
38,-56,39,-56
39.5,-5,39.5,-4
42.5,-57,42.5,-56
39.5,-47,39.5,-46
39.5,-43,39.5,-42
38,-40.5,39,-40.5
39.5,-39,39.5,-38
39.5,-29,39.5,-28
43.5,-15,43.5,-14
40.5,-7,40.5,-6
40,-59.5,41,-59.5
40,-53.5,41,-53.5
40,-45.5,41,-45.5
40,-43.5,41,-43.5
40,-35.5,41,-35.5
40,-27.5,41,-27.5
40,-20.5,41,-20.5
40,-11.5,41,-11.5
40,-3.5,41,-3.5
43.5,-59,43.5,-58
41.5,-53,41.5,-52
41.5,-3,41.5,-2
42.5,-17,42.5,-16
40,-17.5,41,-17.5
41.5,-19,41.5,-18
43.5,-11,43.5,-10
42,-49.5,43,-49.5
42,-39.5,43,-39.5
42,-42.5,43,-42.5
42,-29.5,43,-29.5
42,-22.5,43,-22.5
42,-7.5,43,-7.5
42,-1.5,43,-1.5
44.5,-1,44.5,0
44.5,-45,44.5,-44
43.5,-29,43.5,-28
45.5,-9,45.5,-8
43,-47,43,-46
43.5,-39,43.5,-38
43.5,-37,43.5,-36
42,-35.5,43,-35.5
44.5,-27,44.5,-26
44,-52.5,45,-52.5
44,-37.5,45,-37.5
44,-30.5,45,-30.5
44,-17.5,45,-17.5
44,-3.5,45,-3.5
44,-5.5,45,-5.5
44,-49.5,45,-49.5
47.5,-7,47.5,-6
45.5,-33,45.5,-32
44,-23.5,45,-23.5
45.5,-19,45.5,-18
45.5,-3,45.5,-2
47.5,-51,47.5,-50
45.5,-23,45.5,-22
46,-59.5,47,-59.5
46,-54.5,47,-54.5
46,-29.5,47,-29.5
46,-38.5,47,-38.5
46,-20.5,47,-20.5
46,-11.5,47,-11.5
46,-1.5,47,-1.5
47.5,-61,47.5,-60
47.5,-45,47.5,-44
47.5,-27,47.5,-26
47.5,-53,47.5,-52
48,-54.5,49,-54.5
48,-47.5,49,-47.5
48,-39.5,49,-39.5
48,-16.5,49,-16.5
48,-10.5,49,-10.5
48,-3.5,49,-3.5
50,-49,50,-48
52.5,-33,52.5,-32
48,-32,49,-32
50.5,-31,50.5,-30
49.5,-35,49.5,-34
53.5,-1,53.5,0
48,-1.5,49,-1.5
49.5,-57,49.5,-56
49.5,-25,49.5,-24
48,-22.5,49,-22.5
49.5,-21,49.5,-20
49.5,-19,49.5,-18
49.5,-13,49.5,-12
50.5,-3,50.5,-2
50,-57.5,51,-57.5
50,-46.5,51,-46.5
50,-26.5,51,-26.5
50,-19.5,51,-19.5
51.5,-51,51.5,-50
50,-51.5,51,-51.5
52.5,-63,52.5,-62
50,-61.5,51,-61.5
50,-40,51,-40
50,-13.5,51,-13.5
51.5,-7,51.5,-6
51.5,-45,51.5,-44
51.5,-41,51.5,-40
51.5,-61,51.5,-60
51.5,-59,51.5,-58
51.5,-29,51.5,-28
52.5,-17,52.5,-16
50,-15.5,51,-15.5
51.5,-53,51.5,-52
52.5,-15,52.5,-14
52,-59.5,53,-59.5
52,-53.5,53,-53.5
52,-49.5,53,-49.5
52,-45.5,53,-45.5
52,-41.5,53,-41.5
52,-29.5,53,-29.5
52,-21.5,53,-21.5
52,-23.5,53,-23.5
52,-4.5,53,-4.5
55.5,-49,55.5,-48
53.5,-47,53.5,-46
53.5,-39,53.5,-38
52,-37.5,53,-37.5
53.5,-37,53.5,-36
53.5,-25,53.5,-24
54.5,-11,54.5,-10
52,-9.5,53,-9.5
53.5,-9,53.5,-8
53.5,-55,53.5,-54
53.5,-21,53.5,-20
54,-58.5,55,-58.5
54,-45.5,55,-45.5
54,-39.5,55,-39.5
54,-35.5,55,-35.5
54,-28.5,55,-28.5
54,-23.5,55,-23.5
54,-18.5,55,-18.5
54,-13.5,55,-13.5
54,-7.5,55,-7.5
55.5,-53,55.5,-52
55,-52,54,-52
55.5,-7,55.5,-6
55.5,-45,55.5,-44
55.5,-35,55.5,-34
55.5,-31,55.5,-30
55.5,-23,55.5,-22
55.5,-13,55.5,-12
56.5,-41,56.5,-40
55.5,-3,55.5,-2
56,-62,57,-62
56,-33.5,57,-33.5
56,-20.5,57,-20.5
56,-26.5,57,-26.5
56,-11.5,57,-11.5
56,-7.5,57,-7.5
56,-3.5,57,-3.5
57.5,-53,57.5,-52
56,-53.5,57,-53.5
56,-45.5,57,-45.5
57.5,-31,57.5,-30
57.5,-55,57.5,-54
57.5,-9,57.5,-8
57.5,-5,57.5,-4
62,-63,62,-62
57.5,-59,57.5,-58
56,-57.5,57,-57.5
57.5,-57,57.5,-56
62,-47,62,-46
57.5,-39,57.5,-38
57.5,-19,57.5,-18
57.5,-15,57.5,-14
58,-59.5,59,-59.5
58,-55.5,59,-55.5
58,-50.5,59,-50.5
58,-41.5,59,-41.5
58,-37.5,59,-37.5
58,-33.5,59,-33.5
58,-16.5,59,-16.5
58,-10.5,59,-10.5
58,-1.5,59,-1.5
59.5,-5,59.5,-4
59.5,-23,59.5,-22
58,-21.5,59,-21.5
59.5,-21,59.5,-20
59.5,-61,59.5,-60
59.5,-43,59.5,-42
59.5,-13,59.5,-12
60.5,-3,60.5,-2
59.5,-37,59.5,-36
60,-56.5,61,-56.5
60,-40.5,61,-40.5
60,-27.5,61,-27.5
60,-18.5,61,-18.5
60,-13.5,61,-13.5
60,-6.5,61,-6.5
61.5,-51,61.5,-50
61,-50,60,-50
61.5,-11,61.5,-10
60,-10,61,-10
61.5,-53,61.5,-52
61.5,-39,61.5,-38
61.5,-17,61.5,-16
61.5,-15,61.5,-14
61.5,-33,61.5,-32
61.5,-9,61.5,-8
62,-57.5,63,-57.5
62,-51.5,63,-51.5
62,-42.5,63,-42.5
62,-35.5,63,-35.5
62,-15.5,63,-15.5
62,-5.5,63,-5.5
62,-1.5,63,-1.5
